21	KB742522.1	82.85	4105	530	98	182447	186459	191860	195882	0.0	 3520
21	KB742522.1	83.03	3435	439	92	167299	170681	175687	179029	0.0	 2981
21	KB742522.1	85.97	2616	281	58	59997	62554	51898	54485	0.0	 2719
21	KB742522.1	81.54	3332	431	110	84434	87646	79859	83125	0.0	 2577
21	KB742522.1	81.92	3224	419	93	29686	32801	15856	19023	0.0	 2573
21	KB742522.1	81.13	3334	408	119	156890	160111	163665	166889	0.0	 2468
21	KB742522.1	87.75	2066	185	37	34941	36967	21768	23804	0.0	 2351
21	KB742522.1	84.06	2353	258	65	187752	190046	198200	200493	0.0	 2159
21	KB742522.1	85.49	2116	221	39	27127	29190	12966	15047	0.0	 2128
21	KB742522.1	84.34	2145	236	57	24653	26713	10049	12177	0.0	 2008
21	KB742522.1	81.55	2482	342	70	127253	129673	133831	136257	0.0	 1940
21	KB742522.1	77.01	3706	623	144	113998	117579	117739	121339	0.0	 1912
21	KB742522.1	86.62	1726	211	16	78296	80007	72503	74222	0.0	 1890
21	KB742522.1	84.04	1917	258	34	18259	20160	2500	4383	0.0	 1801
21	KB742522.1	80.55	2422	346	72	121276	123645	124965	127313	0.0	 1748
21	KB742522.1	84.59	1811	224	34	144788	146581	151844	153616	0.0	 1748
21	KB742522.1	85.23	1686	180	38	37025	38683	24248	25891	0.0	 1670
21	KB742522.1	80.64	2149	280	75	44790	46851	35670	37769	0.0	 1539
21	KB742522.1	81.93	1859	251	50	99816	101614	98843	100676	0.0	 1493
21	KB742522.1	81.59	1716	252	42	41383	43062	30464	32151	0.0	 1360
21	KB742522.1	85.39	1342	156	25	133002	134333	140147	141458	0.0	 1356
21	KB742522.1	78.53	2152	310	93	108973	111052	110627	112698	0.0	 1275
21	KB742522.1	77.03	2512	393	98	193749	196166	204214	206635	0.0	 1273
21	KB742522.1	90.96	940	81	3	47162	48099	38114	39051	0.0	 1262
21	KB742522.1	85.77	1223	128	28	65818	67009	58814	60021	0.0	 1253
21	KB742522.1	82.29	1417	198	32	89053	90445	84474	85861	0.0	 1177
21	KB742522.1	81.55	1518	186	48	197858	199341	207803	209260	0.0	 1166
21	KB742522.1	78.24	1958	299	68	118338	120192	122248	124181	0.0	 1138
21	KB742522.1	81.09	1470	191	52	162393	163814	170155	171585	0.0	 1094
21	KB742522.1	90.30	845	67	2	33826	34655	20576	21420	0.0	 1092
21	KB742522.1	79.73	1613	237	51	191486	193058	202476	204038	0.0	 1085
21	KB742522.1	84.57	1141	123	22	21740	22836	6042	7173	0.0	 1083
21	KB742522.1	93.74	719	39	6	56678	57392	48027	48743	0.0	 1074
21	KB742522.1	82.37	1293	169	32	211565	212829	222459	223720	0.0	 1070
21	KB742522.1	88.00	892	79	11	58879	59745	50726	51614	0.0	 1029
21	KB742522.1	84.63	1054	131	21	82175	83208	76953	77995	0.0	 1020
21	KB742522.1	78.15	1762	267	64	75477	77170	68995	70706	0.0	 1013
21	KB742522.1	77.05	1965	309	92	102285	104179	102423	104315	0.0	 1000
21	KB742522.1	91.00	722	52	4	135413	136124	142452	143170	0.0	  961
21	KB742522.1	85.19	952	122	14	136418	137360	143952	144893	0.0	  959
21	KB742522.1	80.83	1299	173	42	93382	94621	89706	90987	0.0	  950
21	KB742522.1	86.17	882	110	9	52648	53520	43501	44379	0.0	  942
21	KB742522.1	79.63	1424	200	52	107451	108851	109183	110539	0.0	  941
21	KB742522.1	80.30	1330	169	55	111915	113180	114192	115492	0.0	  918
21	KB742522.1	79.10	1421	204	48	181070	182431	190391	191777	0.0	  893
21	KB742522.1	80.29	1192	173	40	138231	139401	145328	146478	0.0	  843
21	KB742522.1	88.39	706	71	8	73925	74625	68170	68869	0.0	  839
21	KB742522.1	73.34	2915	507	153	178247	181045	187022	189782	0.0	  830
21	KB742522.1	79.61	1236	181	48	16902	18080	991	2212	0.0	  821
21	KB742522.1	84.00	856	114	15	23073	23918	7451	8293	0.0	  800
21	KB742522.1	85.68	782	82	15	106086	106862	107418	108174	0.0	  797
21	KB742522.1	87.52	665	71	6	142108	142760	149982	150646	0.0	  758
21	KB742522.1	78.69	1239	184	50	69211	70396	62901	64112	0.0	  752
21	KB742522.1	89.07	613	56	7	90877	91485	86561	87166	0.0	  750
21	KB742522.1	79.72	1065	181	27	210276	211325	218433	219477	0.0	  737
21	KB742522.1	81.38	940	140	24	199334	200245	209299	210231	0.0	  734
